15,1,2020-08-17,WC1,DEN,,UTA,1,W (+10),1,42:10,11,21,.524,4,7,.571,3,3,1.000,1,9,10,3,2,1,4,2,29,22.1,+7
16,2,2020-08-19,WC1,DEN,,UTA,2,L (-19),1,31:40,10,21,.476,1,2,.500,7,10,.700,5,6,11,6,0,0,2,3,28,22.4,-23
17,3,2020-08-21,WC1,DEN,@,UTA,3,L (-37),1,31:42,6,13,.462,2,6,.333,1,2,.500,0,5,5,6,0,1,2,1,15,11.9,-21
18,4,2020-08-23,WC1,DEN,@,UTA,4,L (-2),1,39:20,12,24,.500,3,10,.300,2,2,1.000,3,4,7,6,0,0,2,3,29,21.3,-1
19,5,2020-08-25,WC1,DEN,,UTA,5,W (+10),1,42:51,12,19,.632,7,11,.636,0,0,,0,6,6,4,0,1,2,4,31,24.2,+15
20,6,2020-08-30,WC1,DEN,@,UTA,6,W (+12),1,36:26,7,15,.467,3,5,.600,5,5,1.000,2,2,4,9,3,0,2,4,22,22.0,+1
21,7,2020-09-01,WC1,DEN,,UTA,7,W (+2),1,38:55,12,23,.522,2,5,.400,4,4,1.000,3,11,14,4,0,0,2,5,30,22.9,+2
22,8,2020-09-03,WCS,DEN,@,LAC,1,L (-23),1,29:57,6,14,.429,0,2,.000,3,4,.750,1,2,3,3,0,0,1,2,15,8.8,-24
23,9,2020-09-05,WCS,DEN,@,LAC,2,W (+9),1,37:15,10,17,.588,4,5,.800,2,2,1.000,1,17,18,4,0,3,6,4,26,21.2,+18
24,10,2020-09-07,WCS,DEN,,LAC,3,L (-6),1,38:38,13,24,.542,3,8,.375,3,4,.750,1,11,12,8,1,0,7,4,32,22.0,-8
25,11,2020-09-09,WCS,DEN,,LAC,4,L (-11),1,38:53,11,23,.478,2,7,.286,2,2,1.000,1,10,11,6,0,1,3,4,26,18.3,-7
26,12,2020-09-11,WCS,DEN,@,LAC,5,W (+6),1,40:07,9,17,.529,2,6,.333,2,4,.500,1,13,14,5,1,2,6,3,22,16.2,+13
